NOMBARRIO,ZONA,BARRIO_VER
VEREDA PERICO,13,006
VEREDA PANTANILLO,13,005
VEREDA STA CATALINA,10,003
VEREDA EL VALLANO,11,001
VEREDA EL ESCOBERO,10,002
VEREDA LAS PALMAS,12,004
LA MINA,6,0003
SAN RAFAEL,6,0004
BOSQUES DE ZUNIGA,2,0039
VILLAGRANDE,2,0038
PONTEVEDRA,2,0036
JARDINES,2,0037
LAS VEGAS,1,0009
LAS CASITAS,8,0008
LA PRIMAVERA,8,0010
LA PAZ,7,0011
MILAN VALLEJUELOS,8,0012
EL DORADO,7,0013
SAN JOSE,6,0014
LA INMACULADA,5,0018
LA SEBASTIANA,3,0019
ALCALA,8,0023
LOS NARANJOS,9,0020
MESA,9,0021
CENTRO,9,0022
OBRERO,9,0026
BUCAREST,9,0027
SAN MARCOS,2,0025
EL PORTAL,2,0024
LAS FLORES,3,0029
EL ESMERALDAL,4,0031
LA MAGNOLIA,9,0028
ZUNIGA,4,0033
ALTO DE MISAEL,3,0034
LAS ORQUIDEAS,3,0035
URIBE ANGEL,3,0030
EL TRIANON,7,0006
LAS ANTILLAS,7,0005
EL CHINGUI,6,0001
LOMA DE LAS BRUJAS,5,0015
EL CHOCHO,5,0017
LOMA DEL BARRO,7,0007
EL SALADO,6,0002
EL CERRO TUTELAR,11,0040
LOMA DEL ATRAVESADO,4,0032
LA PRADERA,5,0016
